類・品目,持家の帰属家賃を除く総合
Group/Item,"All items, less imputed rent"
類・品目符号(Group/Item code),0163
含類総連番(Serial number),735
ウエイト(Weight),2686407772
ウエイト１万分比(Weight per 10000),8420
199710,98.3
199711,97.6
199712,97.4
199801,97.3
199802,97.1
199803,97.5
199804,97.7
199805,98.1
199806,97.6
199807,96.9
199808,96.8
199809,97.7
199810,98.5
199811,98.4
199812,97.9
199901,97.5
199902,97.1
199903,97.1
199904,97.6
199905,97.6
199906,97.3
199907,96.8
199908,97.1
199909,97.6
199910,97.7
199911,97.1
199912,96.7
200001,96.5
200002,96.2
200003,96.5
200004,96.7
200005,96.8
200006,96.5
200007,96.2
200008,96.5
200009,96.4
200010,96.3
200011,96.0
200012,96.2
200101,96.1
200102,95.8
200103,95.6
200104,95.7
200105,95.9
200106,95.5
200107,95.2
200108,95.6
200109,95.4
200110,95.4
200111,94.8
200112,94.7
200201,94.5
200202,94.0
200203,94.2
200204,94.5
200205,94.9
200206,94.8
200207,94.4
200208,94.7
200209,94.6
200210,94.5
200211,94.5
200212,94.4
200301,94.0
200302,93.7
200303,94.0
200304,94.5
200305,94.6
200306,94.3
200307,94.1
200308,94.3
200309,94.4
200310,94.4
200311,93.9
200312,94.0
200401,93.7
200402,93.7
200403,93.9
200404,93.9
200405,94.1
200406,94.3
200407,93.9
200408,94.1
200409,94.5
200410,95.0
200411,94.8
200412,94.3
200501,93.9
200502,93.5
200503,93.9
200504,94.0
200505,94.2
200506,93.7
200507,93.5
200508,93.7
200509,94.0
200510,94.0
200511,93.6
200512,93.6
200601,93.8
200602,93.4
200603,93.6
200604,93.9
200605,94.3
200606,94.3
200607,94.0
200608,94.6
200609,94.7
200610,94.6
200611,94.0
200612,94.0
200701,93.8
200702,93.3
200703,93.6
200704,93.9
200705,94.3
200706,94.1
200707,93.9
200708,94.5
200709,94.6
200710,94.7
200711,94.6
200712,94.8
200801,94.6
200802,94.4
200803,94.8
200804,94.8
200805,95.7
200806,96.2
200807,96.5
200808,96.8
200809,96.8
200810,96.7
200811,95.7
200812,95.2
200901,94.6
200902,94.4
200903,94.6
200904,94.7
200905,94.6
200906,94.4
200907,94.0
200908,94.3
200909,94.4
200910,93.9
200911,93.6
200912,93.5
201001,93.6
201002,93.6
201003,93.9
201004,93.9
201005,93.9
201006,93.6
201007,93.0
201008,93.2
201009,93.4
201010,93.8
201011,93.4
201012,93.1
201101,93.0
201102,93.0
201103,93.3
201104,93.5
201105,93.5
201106,93.3
201107,93.3
201108,93.4
201109,93.4
201110,93.5
201111,92.9
201112,92.9
201201,93.2
201202,93.4
201203,93.9
201204,94.0
201205,93.7
201206,93.1
201207,92.8
201208,93.0
201209,93.2
201210,93.2
201211,92.8
201212,92.9
201301,92.9
201302,92.7
201303,93.0
201304,93.3
201305,93.5
201306,93.4
201307,93.7
201308,94.0
201309,94.4
201310,94.5
201311,94.5
201312,94.7
201401,94.5
201402,94.5
201403,94.8
201404,97.2
201405,97.6
201406,97.5
201407,97.6
201408,97.8
201409,98.1
201410,97.8
201411,97.3
201412,97.4
201501,97.3
201502,97.1
201503,97.4
201504,98.0
201505,98.3
201506,98.1
201507,97.9
201508,98.0
201509,98.1
201510,98.1
201511,97.7
201512,97.6
201601,97.3
201602,97.3
201603,97.5
201604,97.7
201605,97.8
201606,97.7
201607,97.5
201608,97.5
201609,97.6
201610,98.3
201611,98.3
201612,98.0
201701,97.8
201702,97.7
201703,97.8
201704,98.2
201705,98.3
201706,98.2
201707,98.0
201708,98.3
201709,98.5
201710,98.6
201711,99.0
201712,99.3
201801,99.5
201802,99.4
201803,99.1
201804,99.0
201805,99.1
201806,99.0
201807,99.1
201808,99.8
201809,99.9
201810,100.3
201811,100.0
201812,99.6
201901,99.7
201902,99.7
201903,99.7
201904,100.0
201905,100.0
201906,99.8
201907,99.7
201908,100.1
201909,100.2
201910,100.5
201911,100.6
201912,100.5
202001,100.6
202002,100.3
202003,100.4
202004,100.2
202005,100.2
202006,99.9
202007,100.0
202008,100.1
202009,99.9
202010,99.8
202011,99.4
202012,99.2
202101,99.8
202102,99.7
202103,99.9
202104,98.9
202105,99.2
202106,99.4
202107,99.6
202108,99.6
202109,100.1
202110,99.9
202111,100.1
202112,100.1
202201,100.4
202202,100.8
202203,101.3
202204,101.8
202205,102.1
202206,102.1
202207,102.7
202208,103.2
202209,103.6
202210,104.3
202211,104.6
202212,104.9
202301,105.5
202302,104.7
202303,105.2
202304,106.0
202305,106.0
202306,106.1
202307,106.7
202308,107.0
202309,107.3
202310,108.4
202311,108.1
202312,108.0
202401,108.2
202402,108.1
202403,108.5
202404,109.0
202405,109.5
202406,109.6
202407,110.1
202408,110.8
202409,110.4
202410,111.2
202411,111.8
202412,112.5
202501,113.2
202502,112.7
202503,113.1
202504,113.5
202505,113.9
202506,113.8
202507,114.0
202508,114.2
202509,114.1
202510,115.0
202511,115.5
202512,115.3
202601,115.1
202602,114.3
202603,114.9
202604,115.3
202605,115.9
